id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"4d1e575414de4722ade425712e6f94ce","DCGISopendata","Fri, 20 Sep 2024 19:27:40 GMT","Thu, 28 Aug 2025 18:48:24 GMT","DC 2050","Hub Site Application","DC 2050 presents an opportunity for the District to identify future challenges and opportunities and consider how to meet them in the next two decades. The DC Office of Planning (OP) will work with residents, community-based organizations, businesses, and elected officials to develop policies that guide how new buildings are added as the District's population and economy grow over the coming years.


Through an inclusive and robust public process, the District’s diverse communities will be invited to imagine the kind of city they want for themselves, their neighbors, and their children. Our approach for DC 2050: Community-centered Engagement will reach residents who face the greatest barriers to involvement. Policies will be developed and assessed based on their impact on these populations. Data-driven OP will use data in new ways to help residents learn how the Comprehensive Plan's policies are likely to impact their communities. User-friendly A shorter, visually-appealing, and well-organized document will set priorities that can be easily understood by residents, property owners, investors, and community-based organizations. Outcome-oriented The Comprehensive Plan will clearly explain the changes DC residents can expect for the District and their community.","Hub Site,Comprehensive Plan,community,planning","DC 2050 is a plan for all District residents, who live here today and who will one day call DC home.","/Categories/Zoning,/Categories/Government Operations/Properties and Lands,/Categories/Property and Land/Planning,/Categories/Recreation,/Categories/Transportation","Office of Planning","This work is licensed under a Creative Commons CC0 1.0 Universal.","en-us","https://dc2050.dc.gov","public","CC0-1.0","Office of Planning","-77.18730703423432,38.786658888992555,-76.88747795097557,39.00086195800526",""
"95e7fb85527f472a947865ec15b95db5","earl.eutsler_UFA","Wed, 11 Mar 2020 16:08:47 GMT","Thu, 28 Aug 2025 16:46:03 GMT","Urban Forestry","Hub Site Application","DDOT's Urban Forestry Division (UFD) is the primary steward of Washington DC's ~200,000 public trees and has a mission of keeping this resource healthy, safe, & growing! Trees in the city are critical to our well-being. Among many other benefits, these trees improve our air and water quality, cool our neighborhoods, and provide critical habitat for birds, bees, and...people, too! To help the public understand and connect with the forest that surrounds them, UFD has created this interactive portal. Scroll down to explore information describing the history, value, and management of the urban forest in Washington, DC.","Hub Site,washington dc,district of columbia,dc,ddot,urban forestry","DDOT's Urban Forestry Division (UFD) is the primary steward of Washington DC's ~175,000 public trees and has a mission of keeping this resource healthy, safe, & growing.  Learn more here. ","/Categories/Environment/Urban Forestry","District Department of Transportation","This work is licensed under a Creative Commons Attribution 4.0 International License.","en-us","https://trees.dc.gov","public","CC-BY-4.0","District Department of Transportation","-77.22575918267839,38.786658888995845,-76.81253535472528,39.00086195800861",""
"2335ba275c3f4320a3113f13181eab56","tim.koonce_DCGIS","Fri, 27 Feb 2015 20:36:11 GMT","Thu, 28 Aug 2025 15:58:08 GMT","Pharmacy Locations","Feature Service","The pharmacy license dataset is pulled from the Health Regulation and Licensing Administration's Pharmacy Control Division within DC Health. RX licenses are updated monthly through an automated process. For more information on pharmaceutical licensing, please visit the DC Health's website at dchealth.dc.gov. Search for Pharmaceutical Control Division.","washington dc,dc,district of columbia,pharmacy,medical,health,medication,prescription,doctor,rx,controlled substance","Licensed pharmacies in the District of Columbia.","/Categories/Health and Human Services","DC Health","This work is licensed under a Creative Commons Attribution 4.0 International License.","english (united states)","https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Business_Goods_and_Service_WebMercator/MapServer/9","public","CC-BY-4.0","Health Regulation and Licensing Administration","-77.108902,38.82183,-76.911144,38.984451",""
"dc1332d63b034cb58840f3bd73bacc6a","DDOThub","Thu, 24 Feb 2022 17:52:29 GMT","Thu, 28 Aug 2025 15:16:40 GMT","Special Tree Permit Viewer","Web Mapping Application","Any resident or contractor who wishes to plant, prune, or remove a tree within the public right of way must first obtain permission from the Department of Transportation and the Urban Forestry Division. Use the interactive application below to see what tree permits have been issued relative to estimated special and heritage trees. Knowing when, where, and how to get the right permit for tree work can be a complicated process. Fortunately, we're here to make it easy! Review the information below, and we look forward to hearing from you. Visit https://trees.dc.gov/pages/permitting.","UFA,DDOT UFD Spotlight,district of columbia,environment,trees,washington dc,ddot,canopy","View, share, and print information about special or heritage trees and issued permits.","/Categories/Environment/Urban Forestry","https://ddot.dc.gov","This work is licensed under a Creative Commons Attribution 4.0 International License.","en-us","https://DCGIS.maps.arcgis.com/apps/View/index.html?appid=dc1332d63b034cb58840f3bd73bacc6a","public","CC-BY-4.0","City of Washington, DC","-77.12032174599996,38.80077119200005,-76.91232174599995,39.008771192000054",""
"150a767284804f398fcf5c9bb0fe9e8e","DDOThub","Tue, 22 Sep 2020 17:23:31 GMT","Thu, 28 Aug 2025 12:43:59 GMT","Public Space Committee","Hub Site Application","The Public Space Committee is a citywide body that meets monthly to review and render decisions on a variety of types of permit applications for the use and occupancy of the public right of way that do not fall within the regular permitting process. This includes sidewalk cafes, over-height retaining walls, over-height fences, and security bollards. 

The committee is staffed by the District Department of Transportation, the Department of Buildings, the Office of Planning and the Secretary of the District of Columbia.","Hub Site,ward_all","The Public Space Committee is a citywide body that meets monthly to review and render decisions on a variety of types of permit applications for the use and occupancy of the public right of way. ","/Categories/Government Operations","District Department of Transportation","This work is licensed under a Creative Commons Attribution 4.0 International License.","en-us","https://pschearing.dc.gov","public","CC-BY-4.0","District Department of Transportation","-77.00497900000127,38.87424200000315,-76.99997900000128,38.879242000003146",""
"e4d5d1e5629e463e8f69ef15fded3b10","DDOTsites","Mon, 22 May 2023 18:35:55 GMT","Wed, 27 Aug 2025 13:09:47 GMT","Public Space Activation","Hub Site Application","Create your own initiative by combining existing applications with a custom site. Use this initiative to form teams around a problem and invite your community to participate.","Hub Site","Public space activation projects through the District Department of Transportation (DDOT).","","","null","en-us","https://publicspaceactivation.ddot.dc.gov","public","custom","City of Washington, DC","-77.22575918267448,38.78665888899387,-76.8125353547214,39.0008619580066",""
"f4521efe6b1346f3bc056f82e5da8d34","jamie.donovan@dc.gov_DCGIS","Fri, 05 Mar 2021 18:31:05 GMT","Tue, 26 Aug 2025 20:56:25 GMT","Clean Energy DC","Hub Site Application","The Department of Energy and Environment (DOEE) is leading the development of the plan, working with an interdisciplinary team of consultants, led by Buro Happold, with stakeholder engagement leadership from LINK Strategic Partners. Additional support is being provided by the Institute for Market Transformation (IMT), Home Energy Efficiency Team (HEET), Emerald Cities Collaborative (ECC), Lion Advisors, and Integral. The 2.0 Plan will include an implementable, comprehensive policy roadmap covering the transportation, energy, and building sectors now through 2045. The planning process will take a look back to the original CEDC Plan framework and identify limitations and new opportunities for action with a participatory approach, prioritizing community and stakeholder input.","Hub Site,clean energy dc,district of columbia,washington dc,doee","The Clean Energy DC 2.0 (CEDC 2.0) is the latest effort to develop a cutting-edge climate and energy action plan for the District of Columbia. CEDC 2.0 will serve as an update to Mayor Bowser's first Clean Energy DC Plan, released in 2018. ","/Categories/Environment","Department of Energy and Environment","This work is licensed under a Creative Commons Attribution 4.0 International License.","en","https://cleanenergy.dc.gov","public","CC-BY-4.0","Department of Energy and Environment","-77.22575918267448,38.78665888899387,-76.8125353547214,39.000861958006595",""
"fab4d747e77443d1851e553c825faa47","glejano@ddot.dc.gov_DCGIS","Mon, 08 Aug 2022 20:12:08 GMT","Tue, 26 Aug 2025 20:10:05 GMT","Florida Ave NE Intersection","Hub Site Application","Create your own initiative by combining existing applications with a custom site. Use this initiative to form teams around a problem and invite your community to participate.","Hub Site,ward6aa,ward5,ward6","The Florida Avenue NE and New York Avenue NE Intersection Project enhances all modes of transportation and improves overall safety.","","","null","en-us","https://floridaavene-intersection.ddot.dc.gov","public","custom","City of Washington, DC","",""
"4957dc7d2c704bbf9032dba754ba79d1","DDOTsites","Tue, 08 Aug 2023 17:01:45 GMT","Tue, 26 Aug 2025 18:35:27 GMT","Safe Routes to School","Hub Site Application","The Safe Routes to School (SRTS) program receives federal and local funds to encourage and facilitate active transportation for school children. In 2022, the Council of the District of Columbia passed the Safe Streets for Students Amendment Act with the goal to improve transportation safety infrastructure around schools, giving the SRTS team additional funding and direction towards improving school areas in the District. The SRTS team conducts reviews of the built environment around schools, focusing on transportation infrastructure that provides traffic calming and safety improvements. These improvements include traffic pattern changes, identifying pick-up and drop-off curbside spaces, crosswalk and school zone signage upgrades, signal changes, pavement marking improvements, and speed hump installations.","Hub Site,school,safety","DDOT Capital Project template for use by DDOT staff and contractors. Current as of 05/15/2023","/Categories/Transportation/Streets","District Department of Transportation","This work is licensed under a Creative Commons Attribution 4.0 International License.","en-us","https://srts.ddot.dc.gov","public","CC-BY-4.0","District Department of Transportation","-77.22575918267316,38.786658888993216,-76.81253535472011,39.000861958005935",""
"63a719bc933b4c119a2d48784de6f821","DDOThub","Mon, 04 Apr 2022 14:31:19 GMT","Tue, 26 Aug 2025 14:25:53 GMT","Bus Priority Projects","Hub Site Application","Mayor Muriel Bowser established the Bus Priority Program to improve bus speeds and reliability for riders across the District, whether on Metrobus, DC Circulator, or commuter buses. The bus network provides vital connections to jobs, schools, healthcare, and other destinations. By improving bus service, the District Department of Transportation (DDOT) is improving mobility and access to opportunities for District residents, workers, and visitors. Learn more about District Department of Transportation Bus Priority projects. Email: buspriority@dc.gov. This site includes current, future, and completed project information, as well as how to provide feedback on bus priority projects.","Hub Site,bus,DDOT,transit,washington dc,district of columbia,featuredprogram","The Bus Priority Program aims to improve bus speeds and reliability for riders across the District, whether on Metrobus, DC Circulator, or commuter buses.","/Categories/Transportation/Transit","District Department of Transportation","This work is licensed under a Creative Commons Attribution 4.0 International License.","en-us","https://buspriority.ddot.dc.gov","public","CC-BY-4.0","City of Washington, DC","-77.22575918267448,38.78665888899387,-76.8125353547214,39.000861958006595",""
