id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"0fb82f52bd7046e6932a8246e4554a51","OnlineMapSupport_WSDOT","Wed, 27 Dec 2017 00:22:40 GMT","Thu, 28 Aug 2025 19:59:02 GMT","WSDOT - Interchange Drawings","Feature Service","A point dataset depicting State Highway Interchange drawing locations. Please direct questions about this dataset to: TransportationGISDataSteward@wsdot.wa.gov.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr","To produce a layer of XY points with hyperlinks to the Interchange Drawing .pdf files.","/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","en-us","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/InterchangeDrawings/MapServer/0","public","custom","Washington State Department of Transportation","-124.2552,45.5408,-116.8735,49.019",""
"e03ea8b2a6574e4094230aff5e862626","gray.mckenna@dnr.wa.gov_wadnr","Mon, 27 Jan 2025 19:23:36 GMT","Thu, 28 Aug 2025 19:38:08 GMT","Floating Kelp Linear Extent Data Viewer","Web Experience","The Floating Kelp Linear Extent project is a statewide data synthesis project by the Nearshore Habitat Program at the Washington State Department of Natural Resources. Floating kelp (Nereocystis luetkeana and Macrocystis pyrifera) survey data is summarized to 1-km coastal segments, represented by the -6.1 m MLLW isobath, except in the San Juans where some offshore line segments represent the -12.2 m MLLW isobath to account for offshore kelp presence. This Data Viewer provides a platform to interact with the datasets generated for this project.","floating kelp,Nereocystis luetkeana,Macrocystis pyrifera,Nearshore,Nearshore Habitat","This Data Viewer is a project by the Nearshore Habitat Program at the Washington State Department of Natural Resources that synthesizes floating kelp presence along 1-km coastal line segments in Washington State based on the most recent and best available survey data.","","This project is lead by Gray McKenna at the Nearshore Habitat Program, Washington State Department of Natural Resources. ","The Washington State Department of Natural Resources (DNR) provides the geographic data presented in this web experience ""as is"". DNR makes no guarantee or warranty concerning the accuracy of information contained in the geographic data. DNR further makes no warranties, either expressed or implied as to any other matter whatsoever, including, without limitation, the condition of the product, or its fitness for any particular purpose. The burden for determining fitness for use lies entirely with the user. Although these data have been processed successfully on computers of DNR, no warranty, expressed or implied, is made by DNR regarding the use of these data on any other system, nor does the fact of distribution constitute or imply any such warranty.In no event shall the DNR have any liability whatsoever for payment of any consequential, incidental, indirect, special, or tort damages of any kind, including, but not limited to, any loss of profits arising out of use of or reliance on the geographic data or arising out of the delivery, installation, operation, or support by DNR.","en-us","https://experience.arcgis.com/experience/e03ea8b2a6574e4094230aff5e862626","public","custom","Washington State Department of Natural Resources, Nearshore Habitat Program","0,0,0,0",""
"502551c8979f488095da2a4675d829ab","OnlineMapSupport_WSDOT","Wed, 03 Jul 2024 21:12:03 GMT","Thu, 28 Aug 2025 13:01:13 GMT","WSDOT - Survey Monuments","Map Service","This layer uses event mapping to place all geodetic monuments maintained or owned by the Washington State Department of Transportation. The input table is exported daily at 2:00 AM  from the production Survey Information System (SIS).  Note if you need the coordinates for a station for survey work you should use the coordinates shown in the datasheet for the station NOT the coordinates contained in this layer for the feature. This service is maintained by the WSDOT GIS & Roadway Data Office. If you are having trouble viewing the service, please contact OnlineMapSupport@wsdot.wa.gov.","018,Bndrs,Boundaries,DOT,Data,Department,Open,Open Data,Planning,Plnng,State,TRN,Transportation,WA,WSDOT,Washington","This layer uses event mapping to place all geodetic monuments maintained or owned by the Washington State Department of Transportation.  A link to PDF sheets for each monument is included.","/Categories/Planning,/Categories/Boundaries","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","en-us","https://wsdot.wa.gov/arcgis/rest/services/Production/WSDOT_Survey_Monuments/MapServer/0","public","custom","WSDOT Online Map Center","-125.2,45.426,-116.301,49.293",""
"f7643bc8fac54796b2aa11817c86c0b6","OnlineMapSupport_WSDOT","Tue, 11 Aug 2020 17:53:05 GMT","Thu, 28 Aug 2025 13:01:11 GMT","WSDOT - State Bridge Structures (Under)","Feature Service","This dataset provides geospatial locations and general bridge information for structures Owned By or Managed By WSDOT Bridge Preservation Office (BPO).The WSDOT Bridge Structures (Under) layer is a point dataset that represents a location at which a route crosses beneath a bridge/structure (a bridge/structure that is not represented in the (Bridge Structures (On) dataset) for example: pedestrian bridges, railroad bridges or tunnels. Vertical clearance minimum restrictions for a particular structure will be represented in the MinVertClrncUnderBridge or TunnelMinVertClrncOverRdBy10 fields. For more specific and detailed vertical clearance information please use the WSDOT Bridge Vertical Clearance Trip Planner: https://www.wsdot.wa.gov/Bridge/Structures/BVCTP.htm (Chrome Browser works best)","WSDOT,DOT,Washington,State,WA,Department,Transportation,Bridge,Location,Condition,Preservation,Structure,Vertical Clearance,TRN,018,Open,Data,Rdwy Infr,Plnng","This data was compiled to provide bridge locations and general bridge information related to WSDOT Owned and Managed Structures.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/BridgeData/MapServer/1","public","custom","WSDOT Online Map Center","-124.086297,45.590767,-116.975349,48.857008",""
"d060e9a4142d42158efa59891d463911","OnlineMapSupport_WSDOT","Tue, 11 Aug 2020 17:53:02 GMT","Thu, 28 Aug 2025 13:01:10 GMT","WSDOT - State Bridge Structures (On)","Feature Service","This dataset provides geospatial locations and general bridge information for structures Owned By or Managed By WSDOT Bridge Preservation Office (BPO).The WSDOT Bridge Structures (On) layer is a line dataset that represents a bridge/structure that carries a roadway over a feature. If there is a vertical clearance restriction related to the bridge/structure, the minimum clearance will appear in either the MinVertClrncOverDeck or MinVertClrncUnderBridge fields. For more specific and detailed vertical clearance information please use the WSDOT Bridge Vertical Clearance Trip Planner: https://www.wsdot.wa.gov/Bridge/Structures/BVCTP.htm (Chrome Browser works best)","WSDOT,DOT,Washington,State,WA,Department,Transportation,Bridge,Location,Condition,Preservation,Structure,Vertical Clearance,TRN,018,Open,Data,Rdwy Infr,Plnng","This data was compiled to provide bridge locations and general bridge information related to WSDOT Owned and Managed Structures.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/BridgeData/MapServer/0","public","custom","WSDOT - Bridge Preservation Office (BPO)","",""
"d6b0915ac2f84ecfa3e2eaf6c9d24904","OnlineMapSupport_WSDOT","Wed, 12 Apr 2023 20:51:39 GMT","Thu, 28 Aug 2025 13:01:08 GMT","WSDOT - Geotech Data Aggregate Resource Sites","Feature Service","Points depict aggregate sources that have been tested by the WSDOT State Materials Laboratory and are created from data in the Aggregate Sources Approval database (ASA). The Aggregate Sources Approval database identifies aggregate sources that have been tested by WSDOT, and have been assigned a county letter code with a sequential number for that county. It should be noted that there are sources that have been tested, but not classified with a county code, and are therefore not included in the database. Also, there are sources in the database that are not currently approved for use as materials on construction projects.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Envrnmnt,Geology","This layer allows the user to view WSDOT Aggregate Resource Sites spatially. The features have links to the State Materials Laboratory Aggregate Source Details webpages.","/Categories/Environment","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/GeotechData/FeatureServer/2","public","custom","WSDOT Online Map Center","-125.07417278126083,45.35077141796703,-116.90740599999802,49.227119527540374",""
"c2126442743f47639637defee364f3d9","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:27 GMT","Thu, 28 Aug 2025 13:01:07 GMT","WSDOT - Facilities Sites - Section Maintenance","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Section Maintenance Facility Secondary maintenance facility located to serve specific highway segments within a Maintenance Area. This type of facility may specialize in materials or equipment storage that meet the specific needs of a particular locale (e.g., snow and ice fighting equipment in mountainous areas)","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/15","public","custom","WSDOT Facilities Office","",""
"a4bf0e67d0454fe5ae937f79356feff1","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:24 GMT","Thu, 28 Aug 2025 13:01:05 GMT","WSDOT - Facilities Sites - Regionwide Support","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Regionwide Support Facility Specialized facilities that support statewide or regionwide needs such as materials laboratories, sign fabrication, or traffic and signals shops.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/14","public","custom","WSDOT Facilities Office","",""
"79c7a7248f02470b925469fef81e53e3","OnlineMapSupport_WSDOT","Thu, 23 Mar 2023 15:07:00 GMT","Thu, 28 Aug 2025 13:01:03 GMT","WSDOT - Facilities Sites - Project Engineering","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Project Engineering Site Typically a stand-alone office building that supports planning, design, and project engineering activities. May support more than one Maintenance Area.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/13","public","custom","WSDOT Facilities Office","",""
"2da5733e983e49cfa3cd869e6aece9b6","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:22 GMT","Thu, 28 Aug 2025 13:01:01 GMT","WSDOT - Facilities Sites - Pit, Quarry, Stockpile, and Waste Site","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Pits, Quarries, Stockpile, and Waste Site Less-developed land used intermittently to quarry, process, and store consumable highway maintenance products such as sand or gravel. Typically supports one or no buildings and serves highway segments that are in proximity to the site.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/12","public","custom","WSDOT Facilities Office","",""
"e46c2e45054d49e7b739c0df7c7e4d36","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:20 GMT","Thu, 28 Aug 2025 13:00:59 GMT","WSDOT - Facilities Sites - Other","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/11","public","custom","WSDOT Facilities Office","",""
"cfaee9aa49f4432fb5efd0a4ac0c35b2","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:19 GMT","Thu, 28 Aug 2025 13:00:58 GMT","WSDOT - Facilities Sites - HQ and Region HQs","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Headquarters/Region Headquarters Facility Statewide or regionwide headquarters facility. Regionwide HQ typically includes auto, welding, carpentry, fabrication shops and supporting ancillary storage buildings as well as office space for project engineering and administrative functions.","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/10","public","custom","WSDOT Facilities Office","",""
"887bb63f72104d47b85a8ed91acecda8","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:18 GMT","Thu, 28 Aug 2025 13:00:56 GMT","WSDOT - Facilities Sites - Area Maintenance","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Area Maintenance Facility Primary maintenance facility centrally located to serve a designated Area within a Region. Typically includes auto mechanic shop, fuel service, and storage for vehicles and consumable inventory (e.g., gravel, sand, salt, paint).","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/9","public","custom","WSDOT Facilities Office","",""
"a4cf1f7e06a641f2b7341cd81b6b1579","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:25 GMT","Thu, 28 Aug 2025 13:00:54 GMT","WSDOT - Facilities Sites - Active Rest Area","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) sites. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Safety Rest Areas Each Safety Rest Area is comprised of a network of buildings and major site utilities that support services to the travelling public at that location (e.g., a public restroom, wellhouse, and wastewater pump station).","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/8","public","custom","WSDOT Facilities Office","",""
"7bf5491d169b4abbaa200e466bba225e","OnlineMapSupport_WSDOT","Thu, 17 Feb 2022 22:36:16 GMT","Thu, 28 Aug 2025 13:00:52 GMT","WSDOT - Facilities Buildings - Section Maintenance","Feature Service","Points depict the locations of the Washington State Department of Transportation's (WSDOT) buildings. GPS data was collected for both state-owned and leased facilities used by the WSDOT. Facility Type & Description - Section Maintenance Facility Secondary maintenance facility located to serve specific highway segments within a Maintenance Area. This type of facility may specialize in materials or equipment storage that meet the specific needs of a particular locale (e.g., snow and ice fighting equipment in mountainous areas)","WSDOT,DOT,Washington,State,WA,Department,Transportation,TRN,018,Open,Data,Rdwy Infr,Plnng","Used as a reference layer for geographic information systems at the Washington State Department of Transportation. These data sets enable users to evaluate existing WSDOT sites and buildings with regards to other agency data sets used for planning.","/Categories/Planning,/Categories/Roadway Infrastructure","Washington State Department of Transportation","For Planning use only. The Washington State Department of Transportation (WSDOT) shall not be liable for any activity involving the use of the data, including, but not limited to, lost profits or savings or any other economic or consequential damages. Nor does the WSDOT warrant the fitness of the data for use for a particular purpose, or the installation of the data, its use, or the results obtained. To the fullest extent permitted by law, the Data User shall hold harmless, defend at its own expense, and indemnify WSDOT, its officers, employees, agents, and volunteers, against any and all liability, claims, losses, damages, or expenses, including reasonable attorney’s fees, arising from all acts or omissions of the Data User or its officers, agents, or employees in its use of the WSDOT data.","english (united states)","https://data.wsdot.wa.gov/arcgis/rest/services/Shared/FacilitiesData/MapServer/7","public","custom","WSDOT Facilities Office","",""
